"","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","treeID","tipLabel"
"1",43,44,0.06330543627,50.636896818765,5.75098592324836,50.6387139830096,5.75067948563059,0.06330543627,0,2020.07466934426,2020.13797478053,410000000,NA
"2",44,42,0.06147877138,50.6387139830096,5.75067948563059,50.6354094838736,5.75125331216508,0.12478420765,0.06330543627,2020.13797478053,2020.19945355191,410000000,"hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe"
"3",44,45,0.02047456373,50.6387139830096,5.75067948563059,50.652515166936,5.75636573355395,0.08378,0.06330543627,2020.13797478053,2020.15844934426,410000000,NA
"6",48,49,0.00167,50.6494178833144,5.76368382790556,50.6475227411854,5.76172523777456,0.08905,0.08738,2020.16204934426,2020.16371934426,410000000,NA
"7",48,51,0.01998,50.6494178833144,5.76368382790556,50.6551171360248,5.68177124450349,0.10736,0.08738,2020.16204934426,2020.18202934426,410000000,NA
"8",49,10,0.000215081967299996,50.6475227411854,5.76172523777456,50.5902216955547,6.0161845091987,0.0892650819673,0.08905,2020.16371934426,2020.16393442623,410000000,"hCoV-19/Belgium/CG-030158/2020|EPI_ISL_418987|2020-03-01|Europe"
"9",49,50,0.01114,50.6475227411854,5.76172523777456,50.6182712174532,5.95002598799256,0.10019,0.08905,2020.16371934426,2020.17485934426,410000000,NA
"10",50,12,0.00273628415299998,50.6182712174532,5.95002598799256,50.6673932149774,5.93647076034075,0.102926284153,0.10019,2020.17485934426,2020.17759562841,410000000,"hCoV-19/Belgium/MJP-0306100/2020|EPI_ISL_420356|2020-03-06|Europe"
"14",52,53,0.03044,50.5910988589954,5.85880117086601,50.5893468093101,5.85960712570449,0.15146,0.12102,2020.19568934426,2020.22612934426,410000000,NA
"16",53,14,0.01704005464,50.5893468093101,5.85960712570449,50.5800007869811,5.86360549680758,0.16850005464,0.15146,2020.22612934426,2020.2431693989,410000000,"hCoV-19/Belgium/ULG-10028/2020|EPI_ISL_421202|2020-03-30|Europe"
"17",53,13,0.01977229508,50.5893468093101,5.85960712570449,50.5647117655029,5.5247699897677,0.17123229508,0.15146,2020.22612934426,2020.24590163934,410000000,"hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe"
"19",56,17,0.00191092896200001,50.5890762266398,5.85640517417441,50.3422272429212,6.25586614053313,0.132980928962,0.13107,2020.20573934426,2020.20765027322,410000000,"hCoV-19/Belgium/ULG-7626/2020|EPI_ISL_418633|2020-03-17|Europe"
"20",56,57,0.02205,50.5890762266398,5.85640517417441,50.5923781535674,5.85183971754951,0.15312,0.13107,2020.20573934426,2020.22778934426,410000000,NA
"21",57,18,0.03177349727,50.5923781535674,5.85183971754951,50.4706182945347,5.82939710560777,0.18489349727,0.15312,2020.22778934426,2020.25956284153,410000000,"hCoV-19/Belgium/ULG-10052/2020|EPI_ISL_424657|2020-04-05|Europe"
"23",58,59,0.0003540786357,50.5962179957041,5.85145961896247,50.5962661750892,5.85223426762425,0.1551199999997,0.154765921364,2020.22943526562,2020.22978934426,410000000,NA
